City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,RoadWidth,RoadType
20,2300000,1,0,,0,4,,476,65.6168,1
17,4200000,0,0,,0,7,,1300,20.0,1
12,130000,0,0,,0,0,,499,20.0,3
17,750000,0,0,,0,0,,124,0.0,6
20,30000000,4,4,,1,0,,236,0.0,6
17,81000000,6,6,3.0,6,0,2072.0,167,15.0,3
17,55000000,5,5,2.0,6,1,2069.0,179,22.0,1
17,13000000,6,2,3.0,1,7,2001.0,178,23.0,1
20,273258,4,0,4.0,1,0,2010.0,894,10.0,4
17,30000000,4,3,,1,0,,509,0.0,6
17,225000,0,3,2.0,2,7,2020.0,157,16.0,1
3,375000,0,0,,0,0,,106,0.0,6
17,17500000,5,4,3.0,1,1,,253,15.0,6
17,1450000,0,0,,0,5,,264,13.0,6
17,65000000,6,5,2.0,1,0,,1900,12.0,1
17,9500000,3,1,,1,4,2076.0,713,13.0,3
17,9000000,6,3,3.0,1,0,2064.0,8200,10.0,4
17,2900000,0,0,,0,0,,573,20.0,3
17,80000000,16,10,4.0,2,4,2010.0,226,8.0,4
20,20000000,3,3,,1,0,,280,0.0,6
10,1600000,0,0,,0,0,,216,0.0,3
3,1500000,0,0,,0,4,,164,20.0,3
27,11000,0,0,3.0,0,0,2073.0,206,12.0,1
17,4100000,0,0,,0,5,,137,18.0,1
17,31000000,7,3,3.0,1,4,2014.0,187,10.0,1
17,495000,0,0,,0,0,,182,0.0,6
6,900000,0,2,2.0,4,0,2014.0,195,50.0,1
17,200000,5,4,,2,4,,248,0.0,6
17,15000,2,1,,1,5,2017.0,856,12.0,1
17,20000,0,1,1.0,1,4,2006.0,448,14.0,4
20,17500000,3,3,,1,3,2016.0,1600,13.0,1
20,19500000,5,3,3.0,1,2,,1000,20.0,6
3,60000,5,0,0.0,6,1,,180,20.0,1
3,11000,0,0,0.0,5,1,,176,20.0,5
17,60000,3,4,2.0,2,0,2019.0,548,0.0,6
17,3500000,0,0,,0,0,,325,20.0,1
17,65000000,5,4,2.0,1,0,2076.0,459,20.0,1
17,150000000,6,6,2.0,4,0,,537,18.0,1
17,3500000,0,0,,0,0,,258,16.0,1
17,250000000,5,7,2.0,20,0,,848,18.0,1
17,3500000,0,0,,0,4,,178,15.0,1
17,37000000,6,6,3.0,2,0,2075.0,259,16.0,1
17,19000000,4,3,2.0,1,0,2076.0,347,15.0,1
17,105000000,6,5,3.0,3,0,,309,16.0,1
17,4500000,0,0,,0,0,,174,25.0,1
17,3400000,0,0,,0,0,,93,16.0,1
20,280000,5,5,,3,1,2019.0,257,0.0,6
17,65000000,5,6,3.0,3,5,2076.0,197,22.0,1
20,25000,2,2,1.0,1,0,,294,0.0,6
20,19500000,5,3,2.5,1,7,2076.0,1400,20.0,1
17,1800000,43,20,,0,0,,537,0.0,6
17,24000000,8,5,3.0,1,7,2019.0,699,14.0,4
27,800000,31,31,,6,0,,555,0.0,6
